generation,bestFitness,worstFitness
1,343400,245015900
2,343400,10857500
3,343400,11042936
4,343400,11235644
5,343400,62113384
6,343400,9153125
7,343400,9297656
8,343400,14402600
9,343400,8746600
10,343400,10417039
11,343400,11857400
12,343400,8798716
13,343400,21747421
14,343400,20260600
15,343400,8675900
16,343400,16057384
17,343400,26232124
18,343400,12788216
19,343400,22411900
20,343400,30706424
21,343400,9763064
22,343400,9052024
23,343400,15571069
24,343400,10857500
25,343400,15049909
26,343400,9108584
27,343400,24810650
28,343400,11930524
29,343400,1438002044
30,343400,24025981
31,343400,9763064
32,343400,8879516
33,343400,51257500
34,343400,9763064
35,343400,34340000
36,343400,11930524
37,343400,20398364
38,343400,10508444
39,343400,15412600
40,343400,10564600
41,343400,14799631
42,343400,8789525
43,343400,15412600
44,343400,15947900
45,343400,10679336
46,343400,254378600
47,343400,334193850
48,343400,736716725
49,343400,10039400
50,343400,10371589
51,343400,18042236
52,343400,13698125
53,343400,9052024
54,343400,3567430696
55,343400,9967589
56,343400,13835384
57,343400,10188476
58,343400,9108584
59,343400,21674600
60,343400,21977600
61,343400,62584650
62,343400,24745000
63,343400,12425525
64,343400,14402600
65,343400,178226216
66,343400,14402600
67,343400,27608956
68,343400,10387951
69,343400,15947900
70,343400,11857400
71,343400,17919016
72,343400,19122229
73,343400,895899896
74,343400,9555004
75,343400,9199484
76,343400,22262824
77,343400,16788725
78,343400,12788216
79,343400,21674600
80,343400,100121704
81,343400,9496525
82,343400,160643429
83,343400,9247661
84,343400,18927400
85,343400,16057384
86,85850,13652776
87,85850,23169400
88,85850,8658629
89,85850,12954664
90,85850,38474536
91,0,12544604
